PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,Passenger 1,female,34,0,1,A/5 21171,227.99614225402047,B456,S
2,0,3,Passenger 2,female,18,0,1,A/5 21171,127.40323668364789,B456,S
3,0,1,Passenger 3,male,46,2,1,A/5 21171,419.0536277069111,E789,C
4,1,2,Passenger 4,female,17,1,0,A/5 21171,301.91715286491507,C123,Q
5,0,3,Passenger 5,male,24,1,2,A/5 21171,346.6258888959889,nan,Q
6,0,1,Passenger 6,female,12,2,2,A/5 21171,74.2370183726916,B456,Q
7,0,1,Passenger 7,female,24,2,0,A/5 21171,380.5664257455138,E789,Q
8,1,2,Passenger 8,female,17,1,2,A/5 21171,133.2296025410286,nan,S
9,0,1,Passenger 9,female,6,0,0,A/5 21171,137.72656002650598,E789,C
10,0,3,Passenger 10,female,49,1,0,A/5 21171,63.979092663580445,E789,Q
11,0,2,Passenger 11,male,65,1,1,A/5 21171,87.82858543096447,nan,S
12,1,1,Passenger 12,female,70,0,0,A/5 21171,456.8906437106862,nan,C
13,0,3,Passenger 13,male,13,1,2,A/5 21171,42.95976699611446,B456,Q
14,0,2,Passenger 14,female,21,1,0,A/5 21171,117.51413473540273,C123,S
15,0,1,Passenger 15,male,33,0,2,A/5 21171,169.24057634581402,nan,S
16,1,1,Passenger 16,male,72,2,0,A/5 21171,326.7363580576274,E789,Q
17,1,2,Passenger 17,male,77,2,0,A/5 21171,339.8785452035017,E789,Q
18,0,1,Passenger 18,male,3,2,1,A/5 21171,364.7865302806297,E789,S
19,0,1,Passenger 19,male,2,1,1,A/5 21171,396.0818849554873,E789,Q
20,0,2,Passenger 20,male,11,2,2,A/5 21171,450.88916493459135,C123,S
21,0,1,Passenger 21,male,52,1,2,A/5 21171,135.1256673201714,nan,S
22,0,1,Passenger 22,male,73,1,1,A/5 21171,309.24101327187964,C123,C
23,1,1,Passenger 23,female,72,1,2,A/5 21171,156.02052638721003,E789,Q
24,0,3,Passenger 24,male,67,2,1,A/5 21171,445.0378262382178,B456,S
25,1,1,Passenger 25,male,18,1,0,A/5 21171,73.93815435708503,C123,Q
26,1,2,Passenger 26,female,21,0,2,A/5 21171,78.95994937646678,B456,S
27,0,2,Passenger 27,female,29,2,2,A/5 21171,412.7237443702896,B456,C
28,0,3,Passenger 28,male,64,2,0,A/5 21171,113.6452944671646,nan,S
29,0,1,Passenger 29,male,25,2,1,A/5 21171,358.22492310921393,B456,Q
30,0,3,Passenger 30,female,10,2,2,A/5 21171,230.79012992697952,C123,Q
31,1,2,Passenger 31,female,73,2,1,A/5 21171,87.50402172954176,C123,C
32,0,1,Passenger 32,female,68,1,1,A/5 21171,276.6190112769779,C123,C
33,1,2,Passenger 33,female,72,2,0,A/5 21171,359.3999911105704,C123,C
34,0,3,Passenger 34,male,64,0,2,A/5 21171,282.1383817889124,B456,S
35,0,1,Passenger 35,female,25,2,0,A/5 21171,424.4245572737989,B456,S
36,1,3,Passenger 36,male,34,1,1,A/5 21171,176.25183896830782,B456,C
37,1,3,Passenger 37,male,54,1,1,A/5 21171,308.0500047377052,C123,S
38,0,1,Passenger 38,male,41,2,1,A/5 21171,202.8749890013759,C123,S
39,0,1,Passenger 39,male,58,0,2,A/5 21171,136.7836178118731,E789,S
40,0,1,Passenger 40,female,26,2,1,A/5 21171,290.2379602702381,C123,C
41,1,1,Passenger 41,male,51,0,2,A/5 21171,498.2807923277898,B456,C
42,0,3,Passenger 42,female,67,0,2,A/5 21171,178.35104705172043,nan,S
43,1,3,Passenger 43,male,27,1,2,A/5 21171,434.9754633431947,B456,C
44,0,1,Passenger 44,male,43,1,1,A/5 21171,252.47603668503115,E789,C
45,0,3,Passenger 45,male,70,2,2,A/5 21171,307.81425743912786,nan,C
46,1,3,Passenger 46,male,76,0,2,A/5 21171,324.8601995963143,E789,C
47,0,1,Passenger 47,male,8,0,0,A/5 21171,318.7758015835213,E789,S
48,1,2,Passenger 48,male,39,1,0,A/5 21171,89.78743708966084,C123,S
49,0,1,Passenger 49,male,78,1,1,A/5 21171,460.86546280546634,C123,S
50,1,2,Passenger 50,male,59,0,0,A/5 21171,14.810774534211369,B456,Q
51,1,2,Passenger 51,male,27,1,2,A/5 21171,112.32500686791683,nan,S
52,0,3,Passenger 52,male,65,1,2,A/5 21171,14.45014200107811,nan,S
53,0,3,Passenger 53,male,3,1,0,A/5 21171,25.34144453367612,B456,S
54,0,2,Passenger 54,female,24,2,0,A/5 21171,458.5866286618156,B456,S
55,0,2,Passenger 55,female,19,1,2,A/5 21171,436.8541438350146,B456,C
56,0,1,Passenger 56,female,59,2,2,A/5 21171,16.478462896956692,C123,S
57,0,1,Passenger 57,female,71,1,2,A/5 21171,197.87056570467107,C123,S
58,1,2,Passenger 58,female,22,2,1,A/5 21171,407.3713269728272,E789,Q
59,0,3,Passenger 59,female,28,2,1,A/5 21171,30.634859781159445,nan,C
60,1,2,Passenger 60,male,75,1,2,A/5 21171,262.9681750892024,nan,C
61,0,3,Passenger 61,male,31,1,1,A/5 21171,179.59993334000958,nan,S
62,0,2,Passenger 62,female,39,1,0,A/5 21171,264.40244734824506,nan,Q
63,1,1,Passenger 63,male,51,0,0,A/5 21171,398.3416065307136,nan,S
64,0,2,Passenger 64,female,9,1,0,A/5 21171,486.1366186116398,nan,S
65,1,3,Passenger 65,male,54,0,0,A/5 21171,400.22012454291854,E789,C
66,0,2,Passenger 66,male,17,2,1,A/5 21171,231.206812475815,C123,C
67,0,2,Passenger 67,male,31,2,1,A/5 21171,487.6020975880777,E789,S
68,0,3,Passenger 68,male,35,2,0,A/5 21171,281.15245965228553,E789,C
69,0,1,Passenger 69,female,45,0,2,A/5 21171,413.04739500327867,B456,S
70,0,1,Passenger 70,male,52,0,2,A/5 21171,425.31072903855284,C123,Q
71,0,3,Passenger 71,male,58,1,1,A/5 21171,92.40486057068657,nan,Q
72,0,3,Passenger 72,female,43,1,0,A/5 21171,139.38353943511203,E789,Q
73,0,1,Passenger 73,male,61,2,1,A/5 21171,227.44390540076537,E789,S
74,0,2,Passenger 74,male,57,1,2,A/5 21171,499.08116187650387,E789,S
75,1,3,Passenger 75,female,28,1,2,A/5 21171,153.28160824752644,E789,C
76,0,1,Passenger 76,female,77,1,2,A/5 21171,412.37087817493784,C123,S
77,0,3,Passenger 77,male,52,0,1,A/5 21171,484.5988119246134,C123,C
78,0,1,Passenger 78,male,19,1,0,A/5 21171,398.0840171660372,nan,S
79,1,1,Passenger 79,female,39,0,0,A/5 21171,411.5363066112857,B456,Q
80,0,2,Passenger 80,male,16,0,1,A/5 21171,408.7057418419213,B456,Q
81,1,1,Passenger 81,male,42,0,0,A/5 21171,362.1390311008313,nan,Q
82,0,1,Passenger 82,female,25,1,0,A/5 21171,417.92207087206725,B456,S
83,1,2,Passenger 83,male,35,2,0,A/5 21171,292.16756953510424,C123,S
84,0,2,Passenger 84,female,66,0,1,A/5 21171,239.72442352213235,nan,C
85,0,2,Passenger 85,female,64,2,0,A/5 21171,381.7196524605896,E789,C
86,1,1,Passenger 86,male,16,2,2,A/5 21171,355.0307765648468,nan,C
87,0,3,Passenger 87,female,57,2,2,A/5 21171,97.80437466462384,C123,C
88,0,3,Passenger 88,female,54,2,1,A/5 21171,310.387939436659,E789,Q
89,1,2,Passenger 89,male,17,1,0,A/5 21171,454.34339188351095,B456,Q
90,1,2,Passenger 90,male,19,1,1,A/5 21171,322.688271673474,B456,C
91,1,2,Passenger 91,male,45,2,2,A/5 21171,54.34385913633376,nan,S
92,0,2,Passenger 92,female,59,0,2,A/5 21171,163.40507042748573,C123,C
93,0,3,Passenger 93,male,20,1,2,A/5 21171,31.550350586465388,C123,S
94,0,2,Passenger 94,female,17,2,1,A/5 21171,258.7412766726956,B456,S
95,0,2,Passenger 95,female,46,1,1,A/5 21171,201.5798205507194,C123,S
96,1,1,Passenger 96,female,59,1,2,A/5 21171,416.81945224775995,E789,S
97,1,2,Passenger 97,male,22,0,2,A/5 21171,360.95878958346333,C123,Q
98,0,3,Passenger 98,male,41,0,2,A/5 21171,187.8647729369413,E789,C
99,0,2,Passenger 99,female,41,2,2,A/5 21171,331.5376855284167,nan,S
100,0,2,Passenger 100,female,65,1,1,A/5 21171,360.00262964930397,E789,S
101,0,3,Passenger 101,male,42,2,2,A/5 21171,326.9302288337644,E789,Q
102,1,1,Passenger 102,female,53,0,0,A/5 21171,167.2026110114078,E789,C
103,0,3,Passenger 103,male,21,0,1,A/5 21171,397.06108494419254,nan,Q
104,0,3,Passenger 104,male,30,1,0,A/5 21171,411.1451128624606,C123,C
105,0,2,Passenger 105,female,27,0,2,A/5 21171,30.307831983971095,C123,S
106,0,2,Passenger 106,male,13,1,2,A/5 21171,387.85813844221315,E789,S
107,0,2,Passenger 107,male,27,0,1,A/5 21171,479.5364013818792,E789,Q
108,1,2,Passenger 108,male,74,0,1,A/5 21171,336.74616941560026,nan,S
109,1,1,Passenger 109,female,59,1,1,A/5 21171,195.92429435679438,E789,Q
110,0,1,Passenger 110,male,9,0,2,A/5 21171,105.26845900604495,E789,Q
111,0,3,Passenger 111,male,47,2,1,A/5 21171,395.8020892926993,nan,S
112,0,2,Passenger 112,male,21,0,0,A/5 21171,106.22897506641216,nan,Q
113,0,3,Passenger 113,male,47,2,1,A/5 21171,321.2434858795307,C123,C
114,0,2,Passenger 114,male,25,0,0,A/5 21171,281.18608466982096,nan,Q
115,1,1,Passenger 115,male,7,1,1,A/5 21171,92.30803162232226,B456,S
116,1,1,Passenger 116,male,40,2,1,A/5 21171,292.3845505774965,B456,C
117,0,2,Passenger 117,male,51,0,0,A/5 21171,293.0002478678034,C123,S
118,1,2,Passenger 118,female,51,1,2,A/5 21171,441.8959165448536,C123,C
119,0,3,Passenger 119,female,9,2,1,A/5 21171,290.50931162277567,E789,Q
120,0,1,Passenger 120,male,74,2,0,A/5 21171,57.119815037611126,nan,C
121,0,2,Passenger 121,female,30,1,2,A/5 21171,339.60617172057965,nan,Q
122,1,3,Passenger 122,male,54,1,1,A/5 21171,122.74341879293519,B456,C
123,0,2,Passenger 123,male,53,1,1,A/5 21171,415.6080221033511,C123,C
124,1,3,Passenger 124,male,25,1,0,A/5 21171,42.41014421427846,E789,Q
125,0,1,Passenger 125,female,73,1,0,A/5 21171,464.063348704309,B456,S
126,1,2,Passenger 126,male,67,1,1,A/5 21171,12.94337804005228,B456,S
127,0,1,Passenger 127,male,52,2,2,A/5 21171,416.9569911960492,nan,S
128,1,2,Passenger 128,male,6,1,2,A/5 21171,285.22675469051603,B456,C
129,0,3,Passenger 129,male,23,2,2,A/5 21171,212.48055628932397,E789,Q
130,0,1,Passenger 130,female,73,0,1,A/5 21171,133.97729052117583,nan,Q
131,1,1,Passenger 131,female,59,2,1,A/5 21171,68.35721840938956,C123,S
132,0,2,Passenger 132,female,61,0,1,A/5 21171,292.09174829056144,B456,C
133,1,1,Passenger 133,female,18,1,2,A/5 21171,187.46133221470825,nan,C
134,0,2,Passenger 134,male,74,2,1,A/5 21171,198.17396666366895,B456,Q
135,0,3,Passenger 135,female,47,2,1,A/5 21171,278.7503061684197,B456,S
136,0,3,Passenger 136,male,13,2,1,A/5 21171,375.78103324889094,nan,Q
137,0,2,Passenger 137,female,38,1,2,A/5 21171,37.434746889208526,C123,C
138,0,3,Passenger 138,male,60,0,1,A/5 21171,315.29606233645694,C123,S
139,1,3,Passenger 139,female,71,0,2,A/5 21171,241.32036691865747,C123,S
140,1,1,Passenger 140,male,10,2,2,A/5 21171,350.37131666541217,nan,Q
141,0,2,Passenger 141,male,30,1,0,A/5 21171,447.999933988186,B456,C
142,0,1,Passenger 142,female,44,1,0,A/5 21171,408.15852113427104,nan,Q
143,0,2,Passenger 143,female,51,0,2,A/5 21171,473.0445435027229,C123,Q
144,1,2,Passenger 144,male,58,1,2,A/5 21171,93.25966403224501,E789,C
145,1,3,Passenger 145,male,40,0,1,A/5 21171,395.78661214093046,C123,C
146,0,2,Passenger 146,male,61,2,2,A/5 21171,238.56696256156044,nan,S
147,1,3,Passenger 147,male,4,0,0,A/5 21171,145.0099966480657,nan,S
148,0,3,Passenger 148,female,14,0,2,A/5 21171,357.8503481253749,nan,C
149,0,3,Passenger 149,male,53,0,1,A/5 21171,416.0627235115502,nan,S
150,0,2,Passenger 150,male,13,1,0,A/5 21171,452.9047695875958,B456,Q
151,0,1,Passenger 151,male,29,1,1,A/5 21171,74.68320871735591,nan,Q
152,1,2,Passenger 152,female,77,1,1,A/5 21171,51.608390992230376,E789,Q
153,0,3,Passenger 153,female,2,1,0,A/5 21171,363.9333265607697,B456,C
154,1,1,Passenger 154,female,14,2,2,A/5 21171,146.6238843296435,B456,C
155,0,3,Passenger 155,male,68,1,0,A/5 21171,45.37531492173296,C123,C
156,0,1,Passenger 156,female,4,1,0,A/5 21171,189.14445100166841,nan,S
157,0,2,Passenger 157,female,67,1,1,A/5 21171,423.1465795432347,E789,Q
158,1,2,Passenger 158,male,61,1,2,A/5 21171,360.4790839774769,nan,C
159,0,1,Passenger 159,female,71,2,0,A/5 21171,338.3230195246077,E789,Q
160,0,3,Passenger 160,male,61,1,2,A/5 21171,164.33888889479533,E789,S
161,0,1,Passenger 161,female,77,2,2,A/5 21171,192.8788382638297,nan,Q
162,1,3,Passenger 162,female,68,0,1,A/5 21171,142.4378104121085,B456,Q
163,0,2,Passenger 163,male,72,2,1,A/5 21171,258.8493734159235,E789,C
164,0,2,Passenger 164,female,74,1,2,A/5 21171,275.8539309305001,E789,Q
165,0,1,Passenger 165,female,23,1,0,A/5 21171,0.06229123693699116,E789,C
166,1,3,Passenger 166,male,61,2,0,A/5 21171,255.7356503673463,nan,C
167,1,2,Passenger 167,male,51,0,0,A/5 21171,356.09927193600464,E789,S
168,0,1,Passenger 168,female,6,0,1,A/5 21171,438.1845638342092,E789,S
169,1,2,Passenger 169,female,66,2,1,A/5 21171,345.517307585469,C123,Q
